Pair,Cone,Match,Nodes_A,Nodes_B,AND_A,AND_B,Depth_A,Depth_B,FP_A,FP_B
adder_4bit vs adder_4bit_mut1,po_0,True,10,10,6,6,5,5,"(10, 13, 6, 3, 5)","(10, 13, 6, 3, 5)"
adder_4bit vs adder_4bit_mut1,po_1,True,18,18,12,12,7,7,"(18, 25, 12, 5, 7)","(18, 25, 12, 5, 7)"
adder_4bit vs adder_4bit_mut1,po_2,False,26,22,18,14,9,6,"(26, 37, 18, 7, 9)","(22, 29, 14, 7, 6)"
adder_4bit vs adder_4bit_mut1,po_3,False,34,32,24,22,11,11,"(34, 49, 24, 9, 11)","(32, 45, 22, 9, 11)"
adder_4bit vs adder_4bit_mut1,po_4,False,34,32,24,22,9,9,"(34, 49, 24, 9, 9)","(32, 45, 22, 9, 9)"
adder_4bit vs adder_4bit_mut2,po_0,True,10,10,6,6,5,5,"(10, 13, 6, 3, 5)","(10, 13, 6, 3, 5)"
adder_4bit vs adder_4bit_mut2,po_1,True,18,18,12,12,7,7,"(18, 25, 12, 5, 7)","(18, 25, 12, 5, 7)"
adder_4bit vs adder_4bit_mut2,po_2,True,26,26,18,18,9,9,"(26, 37, 18, 7, 9)","(26, 37, 18, 7, 9)"
adder_4bit vs adder_4bit_mut2,po_3,True,34,34,24,24,11,11,"(34, 49, 24, 9, 11)","(34, 49, 24, 9, 11)"
adder_4bit vs adder_4bit_mut2,po_4,True,34,34,24,24,9,9,"(34, 49, 24, 9, 9)","(34, 49, 24, 9, 9)"
adder_4bit_O0 vs adder_4bit_O1,po_0,True,10,10,6,6,5,5,"(10, 13, 6, 3, 5)","(10, 13, 6, 3, 5)"
adder_4bit_O0 vs adder_4bit_O1,po_1,False,21,18,15,12,6,7,"(21, 31, 15, 5, 6)","(18, 25, 12, 5, 7)"
adder_4bit_O0 vs adder_4bit_O1,po_2,False,32,26,24,18,9,9,"(32, 49, 24, 7, 9)","(26, 37, 18, 7, 9)"
adder_4bit_O0 vs adder_4bit_O1,po_3,False,43,34,33,24,12,11,"(43, 67, 33, 9, 12)","(34, 49, 24, 9, 11)"
adder_4bit_O0 vs adder_4bit_O1,po_4,False,46,34,36,24,13,9,"(46, 73, 36, 9, 13)","(34, 49, 24, 9, 9)"
adder_4bit_O1 vs adder_4bit_O2,po_0,True,10,10,6,6,5,5,"(10, 13, 6, 3, 5)","(10, 13, 6, 3, 5)"
adder_4bit_O1 vs adder_4bit_O2,po_1,True,18,18,12,12,7,7,"(18, 25, 12, 5, 7)","(18, 25, 12, 5, 7)"
adder_4bit_O1 vs adder_4bit_O2,po_2,True,26,26,18,18,9,9,"(26, 37, 18, 7, 9)","(26, 37, 18, 7, 9)"
adder_4bit_O1 vs adder_4bit_O2,po_3,True,34,34,24,24,11,11,"(34, 49, 24, 9, 11)","(34, 49, 24, 9, 11)"
adder_4bit_O1 vs adder_4bit_O2,po_4,True,34,34,24,24,9,9,"(34, 49, 24, 9, 9)","(34, 49, 24, 9, 9)"
adder_4bit vs counter_4bit,po_0,False,10,6,6,3,5,3,"(10, 13, 6, 3, 5)","(6, 7, 3, 2, 3)"
adder_4bit vs counter_4bit,po_1,False,18,8,12,4,7,4,"(18, 25, 12, 5, 7)","(8, 9, 4, 3, 4)"
adder_4bit vs counter_4bit,po_2,False,26,10,18,5,9,5,"(26, 37, 18, 7, 9)","(10, 11, 5, 4, 5)"
adder_4bit vs counter_4bit,po_3,False,34,12,24,6,11,6,"(34, 49, 24, 9, 11)","(12, 13, 6, 5, 6)"
adder_4bit vs counter_4bit,po_4,False,34,10,24,4,9,5,"(34, 49, 24, 9, 9)","(10, 9, 4, 5, 5)"
adder_4bit vs alu_simple,po_0,False,10,13,6,8,5,4,"(10, 13, 6, 3, 5)","(13, 17, 8, 4, 4)"
adder_4bit vs alu_simple,po_1,False,18,31,12,24,7,7,"(18, 25, 12, 5, 7)","(31, 49, 24, 6, 7)"
adder_4bit vs alu_simple,po_2,False,26,42,18,33,9,8,"(26, 37, 18, 7, 9)","(42, 67, 33, 8, 8)"
adder_4bit vs alu_simple,po_3,False,34,51,24,40,11,10,"(34, 49, 24, 9, 11)","(51, 81, 40, 10, 10)"
adder_4bit vs alu_simple,po_4,False,34,44,24,33,9,9,"(34, 49, 24, 9, 9)","(44, 67, 33, 10, 9)"
